,1,2,3,4,5,6,7,8,9,10
1.0,0.5137932271812187,0.3291120943101869,0.2751618983837721,0.23365961487370474,0.3223727985763105,1.8720674947842035,2.8896597755761015,3.2655392469544395,4.015758605281734,3.500987213804145
1.05,0.3712377827378699,0.30033706769600954,0.25684578268169456,0.22035254636841614,0.21669584775551062,0.21527623315343514,0.2024825413953309,0.2206116821469926,0.2245096515001959,1.533557267543058
1.1,0.3721282310810315,0.3080785711589263,0.2643135198079855,0.23850469535478225,0.22926054150746847,0.2399851719578003,0.22068952781409373,0.21669218338091145,0.21909366354692347,0.24027768039382782
1.15,0.39291502920585797,0.3150624466145198,0.277153167053958,0.25516725564585535,0.2525300845749756,0.24373913120103624,0.2357485634775812,0.2334722314047902,0.2384159341304722,0.22483332940838882
1.2,0.4062862678280066,0.33500023800148154,0.2983203630474383,0.2763967319375495,0.2676069492116916,0.25957979339554327,0.25041137822704634,0.2462562378300251,0.2525073789752066,0.24770536978195073
1.25,0.42383454598809833,0.3517873708131743,0.313930241571088,0.2932433426771313,0.2811390998124226,0.2738538082059687,0.26944342307349844,0.26718343605894984,0.2610567458303665,0.2556328061129724
1.3,0.44202802478467845,0.3675648699044805,0.33184759446213397,0.3143438500016954,0.3023073528015745,0.2933918762792814,0.2890551854090122,0.2825140340743577,0.27578415406601,0.27476782007407885
1.35,0.4549275869465137,0.3866277327047916,0.350616152721847,0.32971442086857716,0.31568798749134264,0.3105054519532937,0.29841115233236665,0.2941273711343562,0.29327892680526124,0.29586989701136496
1.4,0.47174585570175526,0.4041773497712961,0.36506245861400827,0.3486015362193494,0.33319918853499497,0.3249479060909195,0.31761256283953837,0.30991162655904975,0.30020810738184794,0.2937980304803975
1.45,0.4874358291268885,0.4162333379777086,0.379113893694176,0.36314509422095703,0.3468327121823825,0.34228589578472185,0.32548570666405224,0.32128366707961786,0.31363411004175107,0.29878647123345065
1.5,0.5042166031493082,0.4334573710087803,0.3945896442323625,0.3760796904277023,0.3641936505927016,0.35270434125336114,0.33793401210724466,0.33445972562193577,0.3179576434721559,0.31347052059842206
